STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,HLY-TEMP-10PCTL,HLY-TEMP-90PCTL,HLY-TEMP-NORMAL
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-06T20:00:00,24.1,48,35.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-06T21:00:00,21.9,48,35.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-06T22:00:00,21.9,46.9,34.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-06T23:00:00,21,46.9,34.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T00:00:00,19.9,44.1,32.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T01:00:00,19.9,46,33.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T02:00:00,19.9,44.1,33.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T03:00:00,19,44.1,32.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T04:00:00,19,44.1,32.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T05:00:00,19,44.1,32.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T06:00:00,18,44.1,32.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T07:00:00,18,44.1,32.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T08:00:00,18,44.1,32.3
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T09:00:00,19,45,33
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T10:00:00,21,46,33.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T11:00:00,21.9,46.9,35
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T12:00:00,23,46.9,35.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T13:00:00,24.1,48.9,36.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T14:00:00,25,50,37.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T15:00:00,25,50,37.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T16:00:00,25,50,37.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T17:00:00,25,48.9,36.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T18:00:00,24.1,48,36.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T19:00:00,24.1,48,35.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T20:00:00,23,48,35.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T21:00:00,21.9,48,34.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T22:00:00,21.9,46.9,34.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-07T23:00:00,21,46.9,34
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T00:00:00,19,44.1,32.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T01:00:00,19.9,46,33.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T02:00:00,19,44.1,32.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T03:00:00,19,44.1,32.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T04:00:00,19,44.1,32.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T05:00:00,19,44.1,32.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T06:00:00,18,44.1,32.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T07:00:00,18,44.1,32
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T08:00:00,18,44.1,32.1
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T09:00:00,18,46,32.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T10:00:00,19,46,33.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T11:00:00,21,46.9,34.8
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T12:00:00,21.9,48,35.7
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T13:00:00,23,48.9,36.6
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T14:00:00,24.1,50,37.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T15:00:00,24.1,50,37.4
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T16:00:00,25,50,37.2
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T17:00:00,24.1,48.9,36.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T18:00:00,23,48,35.9
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T19:00:00,23,48,35.5
USW00014732,"LA GUARDIA AIRPORT, NY US",40.7792,-73.88,3.4,01-08T20:00:00,23,48,35
